web-scraper-order,web-scraper-start-url,link,link-href,text
"1720380703-1","https://docs.dhiwise.com/docs/react/intro","Export code from Figma plugin","https://docs.dhiwise.com/docs/react/export-code","Export code from Figma pluginEasily export code for single or multiple pages, directly from Figma or DhiWise. Within a few clicks export code, add the code to your existing React apps or start creating a new one.Using DhiWise Figma Plugin​While using DhiWise Figma-to-code plugin in Figma for your app’s design, you can directly get your desired page code right away from the design. DhiWise provides an option to export the page to get the code for only the selected one.Step 1:​After activating DhiWise Figma plugin, select the pages in Figma design for which you want to export the code.Step 2:​Next, select React from web technology, and ensure the Selected Frames option is selected under Export option in the plugin panel. Lastly, add your Figma file URL.infoOn the right, as you have chosen Selected Frames options, all the selected page names will be displayed for your ease.Step 3:​Click on Generate Code button. This will start building your page code and once it's built view the entire generated code by clicking on the View Code button.From App Pages List​Export pages code from your created React app in DhiWise.Step 1:​Go to the pages list for your created application.Step 2:​Go to the page you wish to export and select the checkbox Export screen, from the right.Step 3:​After all your page selections, the Export page code button displays up at the bottom. By clicking on it, the code of the selected page will start to generate;Once the code is generated, it will redirect you to the generated code screen. You can easily download the source code or simply Copy to clipboard from here easily and can add the selected page's code into an existing app or start creating a new one using it.

Got a question? Ask here."
"1720380706-2","https://docs.dhiwise.com/docs/react/intro","App settings","https://docs.dhiwise.com/docs/react/app-settings","App settingsSettings allow you to make a variety of changes to your application.For example, you can change the name and icon of your application, delete the application, manage git synchronisation, and change the application configuration.General​You can change the name and icon of your React application to make it unique and reflect your brand.Name change​Go to the Setting -> General and update the application name, and hit Save.Icon change​Go to the Setting -> General and upload the icon and hit Save.noteMake sure that the image you upload is 1024 * 1024 in size. It will be replaced as a favicon.Integrations​GitHub and GitLab are two of the most popular version control systems in use today. For developers who use DhiWise, both of these platforms can be used to sync their application source code.For GitLab, all the functionality will be performed using a Personal Access Token, which must be generated with the selected API scopes. Additionally, GitLab Self-Host users must configure the server address to allow DhiWise to communicate with the GitLab Self-Host instance. Once the integration is set up, users can click the 'Sync' button to start the process.ImportantDo not start the repository with a README file or other options. Keep it empty.The changes will be pushed to the root of the selected repository using Pull Requests.The selected repository must be empty, and please make sure that there won’t be another branch created.For GitLab, all the functionality will be performed using a personal token.API scopes must be selected while generating the Personal Access Tokens.After the expiry of the project, git information will be removed from DhiWise.Code Configurations​You can easily configure the code of your application with DhiWise. It supports popular development tools like Storybook, ViteJS, Create-React-App, CRACO, and custom webpack configurations.This means you can tailor the code of your application to suit your specific needs and switch between different configurations whenever you want.Learn more about all the configurations.

Got a question? Ask here."
"1720380708-3","https://docs.dhiwise.com/docs/react/intro","Deploy to Vercel and Git sync","https://docs.dhiwise.com/docs/react/deploy-on-vercel","Deploy to Vercel and Git syncDeploy to Vercel​[https://www.youtube.com/embed/baVRM-mt-_k]Learn how to Deploy DhiWise React app to VercelTokens can be created and managed inside your account settings and can be scoped to only allow access for specific Teams.Create Access Token​Step 1:​Navigate to the Account Tokens page, also found under the Settings area of your Personal Account.Step 2:​Provide appropriate Token name, select Scope and select Expiration time from the dropdown.Step 3:​Copy the Token.Click on Deploy and enter your Vercel token.infoIf your repository is private then the deploy option will not work. To successfully deploy your application to Vercel, you will have to sync GitHub or GitLab account with Vercel.Sync to your Git repository​[https://www.youtube.com/embed/XSjJVmSX8Ug]Sync application code to GitHub​Step 1:​Go to applications settings and click on Integrations from the left panel. And select GitHub option.Step 2:​You will be taken to the GitHub login screen, where you are asked to provide your GitHub username/email and password, or create a new GitHub account if you do not already have one.Step 3:​After entering your credentials, you will be redirected to the authorization page. Click on Authorize DhiWisePvtLtd button to authorize DhiWise to sync code in your GitHub account.Step 4:​When the authorization is completed, you will be taken to DhiWise application settings page. Select integration and you will be able to see Select repository option. Please select blank repository; you will not be able to select a repository that already contains programming files. Also, a repository cannot be changed once is it committed.Step 5:​By clicking on Select repository button, you can either select an existing one or click on ➕ button to add a new repository. It will redirect you to GitHub, and you can create new repository. After creating a new repository, click on Refresh button and you can see the newly created repository in the list.Step 6:​After you select repository, you will see the GitHub repository name and URL. You can also switch repositories by clicking the Change repository button.Step 7:​To commit code to GitHub, first build app and then select Code view. The GitHub repository will be visible at the bottom of the code page. To push your application code to the GitHub repository, click Commit. You can also change the repository from here if necessary.Sync application code to GitLab​Step 1:​Go to applications settings and click on Integrations from the left panel. And select GitLab option.Step 2: When you click on the sync with GitLab button, a dialogue will appear with two options: SaaS and Self manage. To move to the next step, select any of the options and provide the necessary information.cautionTo sync application code on GitLab, you need a Personal access token. Learn more Sync GitLab Using SaaS​Choose SaaS, enter your Personal access token, and click Submit. The token will be verified when you provide the details, and you will be able to see the GitLab repository details.Sync GitLab Using Self manage​Select Self manage and enter Domain URL, Username, and Personal access token and click on Submit. After providing the information, the token will be validated and you will be able to view the GitLab repository details. The personal access token has to be of the administrator.Step 1:​When the authorization is complete, you will be returned to DhiWise application settings page. Select integration and you will be able to see the Select repository option. Please select a blank repository; you will not be able to select a repository that already contains programming files.Step 2:​By clicking on Select repository button, you can either select an existing one or click on ➕ button to add a new repository. It will redirect you to GitLab, and you can create new repository. After creating a new repository, click on Refresh button and you can see the newly created repository in the list.Step 3:​After you select repository, you will see the GitLab repository name and URL. You can also switch repositories by clicking the Change repository button.Step 4:​To commit code to GitLab, first Build app and then select Code view. The GitLab repository will be visible at the bottom of the code page. To push your application code to the GitLab repository, click Commit. You can also change the repository from here if necessary.By following the above steps, you will be able to sync the app code with GitHub or GitLab. Now the next step is to input your Vercel access token.

Got a question? Ask here."
"1720380710-4","https://docs.dhiwise.com/docs/react/intro","Ownership of the source code","https://docs.dhiwise.com/docs/react/ownership-of-the-source-code","Ownership of the source codeSelected screen code​Export pages code from your created React app in DhiWise. Learn moreDownload zip​You can easily download source code once you have build the application.Git Sync​Sync and manage your application code with GitHub or GitLab. Learn moreVS Code Extension​With the help of DhiWise's VS Code extension, developers can easily sync their application code to Visual Studio Code and start customizing app code within seconds. Learn more

Got a question? Ask here."
"1720380712-5","https://docs.dhiwise.com/docs/react/intro","Build App","https://docs.dhiwise.com/docs/react/build-app","Build AppYou can build your React application anytime after you fetch your design from Figma. If your Figma design has prototyping, then that would be auto-implemented to create actions and navigations, which you can see on the generated code file when you build the app.Build app to generate code​All the design has been generated with tailwindcss. Find all the theme related configuration inside tailwind.config.jsViteJS, CRACO, CRA or Custom Webpack​Using DhiWise, you can generate web applications from Figma in a few minutes. After generating the code, you can download the zip file and run it on your IDE.To make your developer experience more delightful, you can now generate code in four different ways:1. CRA (Create React App)​  This beginner-friendly setup helps all the newbies and all the React developers who prefer the CRA setup.
This comes with react-scripts v5.0.02. CRACO (Create React App Configuration Override)​  This is CRA with a twist for better, opinionated, faster bundling. So you can configure it, whatever works best for you.This comes with @craco/craco v^6.4.53. Webpack​  Want a custom setup for your project? Want to go old-school?   Then this is for you. Each part of this setup is designed to match your application's needs with easy configuration and minimal tweaks and is entirely customizable. Powered by Webpack.  For this, we use the following packages: ""webpack"": ""^5.74.0"",
""webpack-cli"": ""^4.10.0"",
""webpack-dev-server"": ""^4.9.3"",
  Thanks, Webpack team! 👍🏽4. ViteJS​  The next-gen front-end tooling is here for lightspeed builds.Vite brings all the fantastic features:Instant Server StartLighting Fast HMR (Hot Module Replacement)Optimized BuildsUniversal Plugins""@vitejs/plugin-react-refresh"": ""^1.3.1"",
""vite-plugin-svgr"": ""^0.3.0"",
""vite"": ""^2.3.2"",
Storybook support​All the above flavors come with storybook support. Storybook helps you start building and maintaining your applications' UI components. How to use Storybook in DhiWise-generated React web applications?Install and Initialize​     npx storybook init
Run the Storybook​      npm run storybook
Download the source code or sync it to GitHub or GitLab​You will be redirected to the code screen and from there you can download the source code and sync it to GitHub & GitLab !infoThe source code is debugged. Therefore, it can be run directly on your favorite IDE.You can still make changes to your application by adding actions, changing views, & authentication, then re-build your application. Click on ""Build app"" to generate the updated code. The basic structure of the generated code will be as following:Install Dependencies​npm install
Running the app​npm start
Folder Structure​After creation, your project should look like this:
.
├── craco.config.js
├── package.json
├── package-lock.json
├── postcss.config.js
├── public
│   ├── favicon.ico
│   ├── index.html
│   ├── logo192.png
│   ├── logo512.png
│   ├── manifest.json
│   └── robots.txt
├── README.md
├── src
│   ├── App.js/ .tsx
│   ├── assets
│   │   ├── fonts ---------- Project fonts
│   │   └── images --------- All Project Images
│   ├── components --------- UI and Detected Common Components
│   ├── constants ---------- Project constants, eg: string consts
│   ├── hooks -------------- Helpful Hooks
│   ├── index.js/ .tsx
│   ├── pages -------------- All route pages
│   ├── Routes.js/ .tsx ---------- Routing
│   ├── styles
│   │   ├── index.css ------ Other Global Styles
│   │   └── tailwind.css --- Default Tailwind modules
│   └── util
│       └── index.js/ .tsx ------- Helpful utils
└── tailwind.config.js ----- Entire theme config, colors, fonts etc.


For the project to build, **these files must exist with exact filenames**:

- `public/index.html` is the page template;
- `src/index.js` is the JavaScript entry point.


Got a question? Ask here."
"1720380715-6","https://docs.dhiwise.com/docs/react/intro","Storybook Integration","https://docs.dhiwise.com/docs/react/story-book","Storybook IntegrationStorybook creates an interface where you can visualise your React app’s components easily and play with them by modifying its properties and making changes for better design.

The supported components for Storybook are: Input, Radio, Button (LeftIconButton, RightIconButton), CheckBox, SelectArea and TextArea.Step 1:​Create a React app using DhiWise.Step 2:​Once your app is setup, click on Build App.Step 3:​A dialog box will appear for Storybook Setup, there are two options: With storybook: Code generator with StorybookWithout storybook: Code generator without StorybookStep 4:​Click on With storybook to integrate Storybook into your application. Once you click there, your project will start to build.Step 5:​Once your application is built, download your code.Step 6:​To install and initialize dependencies, run the below command:npx storybook init
Step 7:​To run Storybook use the following command:npm run storybook
Step 8:​As you run your code,Here you can see a list of common components of your application.Easily configure the Actions, Controls, and Interactions on a button, and also modify them from Canvas area.You can see in detail the properties description from Docs area.At this stage, you have successfully integrated Storybook into your React app.

Got a question? Ask here."
"1720380717-7","https://docs.dhiwise.com/docs/react/intro","Preview App","https://docs.dhiwise.com/docs/react/preview-app","Preview AppPreview your complete React app design right here to see your app’s generated design results and make changes priorly again to get your design results more accurately.As you are done with your React app design setup or want to check out the design results of screens, follow the below steps;Step 1:​Go to the pages list, and click on Preview button.Step 2:​As you click on it, it will start to build your design code, within a few minutes it will show you a page where you can check or preview your app design, as shown below;infoSwitch between different screen resolutions easily, and check how it fits on every screen.On the Preview page, you can switch between different pages and preview them live here and check each screen’s UI easily.Shareable Preview​Easily share the generated preview with your teams for your React app in DhiWise, by simply copying the generated link from here in the top right corner.

Got a question? Ask here."
"1720380719-8","https://docs.dhiwise.com/docs/react/intro","Protected Routes","https://docs.dhiwise.com/docs/react/protected-routes","Protected Routes[https://www.youtube.com/embed/qsIH0W8f9as]In a React application, a protected route is a route, which authenticated users can only access. Protected routes ensure that only authorized users can access certain application parts.Steps to create protected routes in React using DhiWise​1. Go to Pages​2. Select Protected routes from the left menu​3. Select routes to protect & click Move to protected​4. Define the local-storage key or use the existing & click Submit​About the generated code of Protected routes using DhiWise​To create a protected route in React, you can use the <Route> component from the react-router-dom library and wrap it in a higher-order component (HOC) that checks if the user is authenticated before rendering the route.Here's an example of how DhiWise generates a protected route in React:import React from ""react"";
import { Navigate, useLocation } from ""react-router-dom"";

export const ProtectedRoute = ({ element: Element }) => {
  const { pathname } = useLocation();
  const token = localStorage.getItem(""token"");

  if (!token && [""/dashboard""].includes(pathname)) {
    return <Navigate to=""/"" />;
  }
  return <Element />;
};
In this example, the ProtectedRoute component is a HOC that wraps the <Element> component and checks if the user is authenticated using the local storage key name “token”. If the user is authenticated, it renders the Element passed as a prop to the ProtectedRoute component. If the user is not authenticated, it redirects them to the “/” (default) page.To use the ProtectedRoute component, DhiWise passes it as an element prop from the <Route> component in Routes.js file:<Route path=""/dashboard"" element={<ProtectedRoute element={Dashboard} />} />
This will ensure that authenticated users can only access the /profile route.

Got a question? Ask here."
"1720380721-9","https://docs.dhiwise.com/docs/react/intro","Constants","https://docs.dhiwise.com/docs/react/constants","Constants[https://www.youtube.com/embed/t20Afrmusdk]

In React, a constant is a variable that cannot be reassigned. Constants are declared using the const keyword like this:const MY_CONSTANT = 'This is a constant.';
Once a constant is declared, you cannot reassign a new value. If you try reassigning a new value to a constant, you will get a runtime error.MY_CONSTANT = 'This is a new value'; // This will throw an error
Constants are helpful when you want to ensure that the value of a variable does not change, either by accident or intentionally. They can help prevent bugs and improve the readability of your code.tipIt's important to note that while the value of a constant cannot be reassigned, it is still possible to modify the properties of a constant object.Steps to add constants in your React application using DhiWise​1. Go to Pages​2. Click on Constant from the left menu​3. Click on Add constant​4. Enter the file name & click on Create constant to create a new file​5. Enter the constant name​6. Select constant data type & click on Save​

Got a question? Ask here."
"1720380723-10","https://docs.dhiwise.com/docs/react/intro","Manage App Lifecycle","https://docs.dhiwise.com/docs/react/manage-app-lifecycle","Manage App LifecycleThis utility helps with managing React components’ life cycle events.It supports API Integration on the On Mount event for functional React components. DhiWise-generated code will have “useEffect” calling the API function inside it.Step 1:​Go to pages Step 2:​Select a page and click on ConfigureStep 3:​From the top-left corner, select Life cycle action. And on On mount select API Integration. Learn more on how to integrate APIs.



Got a question? Ask here."
"1720380725-11","https://docs.dhiwise.com/docs/react/intro","API Integration","https://docs.dhiwise.com/docs/react/api-integration","API IntegrationAPIs play a vital role in making an application interactive. An application has to integrate a number of different APIs into it for its different functionalities to work. With DhiWise, set up these APIs easily for your application.Add APIs​To integrate APIs you require an API for your application in DhiWise, to use the same and set it up. Add APIs manually or import your Postman collection in DhiWise. referRefer: Add APIs and Environment variablesSetup APIs​infoYou can also integrate APIs in lifecycle method. Learn more.Integrate API on any page or view component easily using the following steps:Select Page​In your DhiWise application, select the page from the page list or click Configure option for a particular page, in which you want to set up an API.Select page component​Now, as you open the page in detail view, right-click on the component on which you want to integrate an API, and select Create action.Next, select API Integration from the left side of the panel. Step 1: Select API & Handle Request​Select the API you want to integrate from the list of APIs you added in your application. Then select the required header, parameter, and body. Learn more on how to add new APIs to your application.

The types of API request supported are GET, POST, PUT, and DELETE.Header and Params​Set your API’s Header, Parameters, and Body by switching to Handle request area. Headers and Parameter values will be the same as you have added to it while you add your API, in case you want to edit them you can change or add them here.Body​Switch to Body property and bind your request key with any of the below-supported types to send data to your API request,TypeDescriptionViewYou can pass data from screen view component.Manual inputThis option allows you to enter a custom value into your request bodyConstantIf you have added constant files, then you can pass the constant data to request body. Learn moreAPI responseIf you have priorly saved API response, then you can pass that response data to request body.Get from localStorageYou can pass stored value from localStorage to request body.Navigation argumentIf the current page already has a Navigation argument set up. Then you can pass that same data to request body. Learn moreStep 2: Handle Response​Save response data to localStorage or bind them with View to display the response values in your application, in the Handle response area.TypeDescriptionViewBind the API response data to the page components.LocalStorageStore the response data to your localStorage.Step 3: Handle Action​Handle and choose what to perform on the success and failure methods after the API call in Handle action area.On success and On error actions​noteWe are considering response code as 200 for success of API call rest code will be in error state.Select an action you want to execute on these methods from the actions list and set it up accordingly with the required inputs.
Actions supported on these methods are:API IntegrationNavigationShow Alert dialog
Click on Submit and your API is integrated.infoYou can integrate On error actions in the same way as shown below.On success: Navigation​On success: Show alert​

Got a question? Ask here."
"1720380727-12","https://docs.dhiwise.com/docs/react/intro","Add APIs and Environment Variables","https://docs.dhiwise.com/docs/react/add-apis-and-enviroment-variables","Add APIs and Environment Variables[https://www.youtube.com/embed/X-Ot_vZRidg]

Easily add APIs manually or upload Postman collection to integrate API in your app. Go to your React app builder, on page list select API management from the left menu. Here, you can Add new API, Delete or Edit an existing one.To add a new one, click on Add new API.Two ways to add APIs​1. Upload Postman file​Upload the API Postman collection & environment file to get the list of all the APIs from the Postman file.2. Create APIs manually​[https://www.youtube.com/embed/T1y1s9M9Gzw]Add APIs manually by clicking on the Add new API button. It will redirect you to the API runner page.Step 1:​Select the API method from the top-left and enter the URL. Below is the list of methods that are supported;MethodDescriptionPUTPUT method creates or updates a specified resourceGETGET method retrieves information from a specified resourceDELETEDELETE method deletes the specified resourcePOSTPOST request is used to send data to a server to create/update a resourceinfoIf Headers and Params are already set into the Postman collection for an API then it will be auto-set here.Step 2:​The next step is to add Header, Params, and Body;HeaderAdd header configuration by setting key valuesParamsAdd query parameters and sample valuesBodyAdd/bind API request body
Send API request: Once you Send the request. You will get the response and the API will be auto-saved for you. To send request click on Send or use shortcut Ctrl + G.
JSON: Your API response will be formatted into JSON, which will be visible from here.Raw: The raw API data which you got from the API response is available here.Headers: The headers from the API response are stored here.infoShow code: Get code for your API by clicking on Send -> Show code or simply use shortcut S. You can select from a range of languages available.Import cURL: Import API from cURL by clicking on Send -> Import cURL or simply use shortcut CAdd Environment Variables​The environment variable Global comes as default. However, you can always create new variables. In the environment variable, you can add variables and its value as shown in the below GIF.To use those variables in the URL simply use curly braces {{variable_name}}Once you've built the app follow the TODO in your source code to change to different environment variables.

Got a question? Ask here."
"1720380730-13","https://docs.dhiwise.com/docs/react/intro","Custom Components","https://docs.dhiwise.com/docs/react/create-custom-components","Custom ComponentsDeprecatedThe words; ""Custom component"" and ""Change component"" are no longer present. The features have been renamed and combined with the ""Component"" feature. This ensures that all existing features remain in place. Custom component is now renamed to ""Create new component"" and ""Change component"" is renamed to ""Convert to existing component"". To learn more, visit the Component page.[https://www.youtube.com/embed/HaJV9IWAvI0]Writing all your HTML parts on one page creates chaos in modularising the code. As front-end developers, we often focus on creating common UI parts then can be used repeatedly.If you’re familiar with Thinking in React, we often break the UI into a common hierarchy. That helps us conveniently handle each UI. In addition, this approach allows us to achieve the single responsibility principle in the codebase.Using DhiWise, you can define your UI part as a custom component with a few simple steps visually. On top of that, it also allows us to define the props, which can be set dynamically from the parent.How to create custom components​Step 1: Right click on the UI part from the canvas and select “Create Component”​
Step 2: Define the name of the shared component​We define the name of a custom component in React the same way we need to define the name over here.Step 3: Set props in the layer​DhiWise will automatically identify all the props based on text and images in the UI part and ask you to define them as a prop for the shared component, which can be passed from the parent component.Step 4: Define all the props and click on Create Component button​
Step 5: Choose similar tag-matched components​Once you define a single view to be a custom component, DhiWise intelligently brings all the tag-matched components and internally, it will replace all those HTML repetitions into a custom component, including the dynamic prop values.infoThis works only when you have similar components in the same page.Step 6: Get all the similar views converted into a custom component​You can observe the custom component in the layer tree and the canvas and side panel, which you can update anytime.Remove Custom Components​Components let you split the UI into independent, reusable pieces, and think about each piece in isolation. For the same, DhiWise provides the feature of Custom Components. Custom components are created once and can be used multiple times in different business contexts.DhiWise makes the usage of these Custom Components handier with respect to the changing requirements. Using DhiWise, you can add and remove components from the Custom Component.How to remove a component from Custom Components​Step 1:  Right-click on the component that’s a part of a Custom Component on the canvas and select “Custom Component → Remove as component”.​Step 2: Select “Remove as component” to ensure removing that component.​Effects on code:​Removing a component means removing a component from the Custom Component. On removing a component from the Custom Component, you get a standalone piece of code from DhiWise for that particular component.Only the component that’s removed from the Custom Component will be removed while the other selected components will still be a part of the Custom Component. For example,<FoodComponent
        className=""bg-white_A700 flex flex-col items-center justify-start""
        restroName=""Fast Food Resto""
        foodName=""Fish Burger""
      />
      <div className=""bg-white_A700 flex flex-col items-center justify-start"">
        <Img
          src=""images/img_love.svg""
          className=""sm:h-[10px] md:h-[13px] h-[24px] max-w-[100%]""
          alt=""Love One""
        />
        <Text
          className=""font-medium ml-[3px] text-bluegray_900 text-left w-[auto]""
          as=""h5""
          variant=""h5""
        >
          Fast Food Resto
        </Text>
        <Button className=""items-center justify-center "">
          <Img
            src=""images/img_button.svg""
            className=""flex items-center justify-center""
            alt=""button Two""
          />
        </Button>
      </div>

      <FoodComponent
        className=""bg-white_A700 flex flex-col items-center justify-start""
        restroName=""Fast Food Resto""
        foodName=""Cheese Burger""
      />
